03-23 20:53:59  Random Minute is :51 
03-23 20:55:06  Random Minute is :52 
03-23 20:56:53  Random Minute is :41 
03-23 20:56:53  Min hour: 3, Max hour: 23 
03-23 20:56:53  New day is coming 23 
03-23 20:56:53  It is Game time. 
03-23 20:56:53  Prepare Platform 
03-23 20:56:53  Platform is already running. 
03-23 20:57:26  Start Player successfully. 
03-23 20:57:26  Find postion, x=192, y=93 
03-23 20:57:28  Start Battle 
03-23 20:57:29  Saved Screen to file: 2018_03_23__20_57_28.png 
03-23 20:57:34  Check wide mode 
03-23 20:57:40  current is stand mode, does not need change 
03-23 20:57:46  Find postion, x=192, y=93 
03-23 20:57:46  Save screen for File m_start.jpg done. 
03-23 20:57:46  Total have win: 0/0 
03-23 20:57:46  Start Match 
03-23 20:57:48  start round match 
03-23 20:57:51  Looking for image: matching.png 
03-23 20:57:51  Still in matching 
03-23 20:57:54  Looking for image: matching.png 
03-23 20:57:54  Still in matching 
03-23 20:57:56  Looking for image: matching.png 
03-23 20:57:57  Still in matching 
03-23 21:00:36  Random Minute is :52 
03-23 21:00:36  Min hour: 3, Max hour: 23 
03-23 21:00:36  New day is coming 23 
03-23 21:00:36  It is Game time. 
03-23 21:00:36  Prepare Platform 
03-23 21:00:36  Platform is already running. 
03-23 21:01:09  Start Player successfully. 
03-23 21:01:09  Find postion, x=192, y=93 
03-23 21:01:11  Start Battle 
03-23 21:01:12  Saved Screen to file: 2018_03_23__21_01_11.png 
03-23 21:01:17  Check wide mode 
03-23 21:01:23  current is stand mode, does not need change 
03-23 21:01:29  File m_start.jpg exist, I will delete it first. 
03-23 21:01:29  Find postion, x=192, y=93 
03-23 21:01:29  Save screen for File m_start.jpg done. 
03-23 21:04:00  Random Minute is :17 
03-23 21:04:00  Min hour: 3, Max hour: 23 
03-23 21:04:00  New day is coming 23 
03-23 21:04:00  It is Game time. 
03-23 21:04:00  Prepare Platform 
03-23 21:04:00  Platform is already running. 
03-23 21:04:33  Start Player successfully. 
03-23 21:04:33  Find postion, x=192, y=93 
03-23 21:04:35  Start Battle 
03-23 21:04:36  Saved Screen to file: 2018_03_23__21_04_35.png 
03-23 21:04:41  Check wide mode 
03-23 21:04:47  current is stand mode, does not need change 
03-23 21:04:52  File m_start.jpg exist, I will delete it first. 
03-23 21:04:52  Find postion, x=192, y=93 
03-23 21:04:52  Save screen for File m_start.jpg done. 
03-23 21:05:52  Random Minute is :53 
03-23 21:05:52  Min hour: 3, Max hour: 23 
03-23 21:05:52  New day is coming 23 
03-23 21:05:52  It is Game time. 
03-23 21:05:52  Prepare Platform 
03-23 21:05:52  Platform is already running. 
03-23 21:06:25  Start Player successfully. 
03-23 21:06:25  Find postion, x=192, y=93 
03-23 21:06:27  Start Battle 
03-23 21:06:27  Saved Screen to file: 2018_03_23__21_06_27.png 
03-23 21:06:33  Check wide mode 
03-23 21:06:39  current is stand mode, does not need change 
03-23 21:06:44  File m_start.jpg exist, I will delete it first. 
03-23 21:06:44  Find postion, x=192, y=93 
03-23 21:06:44  Save screen for File m_start.jpg done. 
